SNo,Language family,Language name,Native name,639-1,639-2/T,639-2/B,639-3,639-6,Notes
1,Northwest Caucasian,Abkhaz,"????? ??????, ??????",ab,abk,abk,abk,abks,
2,Afro-Asiatic,Afar,Afaraf,aa,aar,aar,aar,aars,
3,Indo-European,Afrikaans,Afrikaans,af,afr,afr,afr,afrs,
4,NigerÐCongo,Akan,Akan,ak,aka,aka,aka + 2,,"macrolanguage, Twi is [tw/twi], Fanti is [fat]"
5,Indo-European,Albanian,gjuha shqipe,sq,sqi,alb,sqi + 4,Ð,"macrolanguage, ""Albanian Phylozone"" in 639-6"
6,Afro-Asiatic,Amharic,????,am,amh,amh,amh,,
7,Afro-Asiatic,Arabic,???????,ar,ara,ara,ara + 30,,"macrolanguage, Standard Arabic is [arb]"
8,Indo-European,Aragonese,aragonŽs,an,arg,arg,arg,,
9,Indo-European,Armenian,???????,hy,hye,arm,hye,,
10,Indo-European,Assamese,???????,as,asm,asm,asm,,
11,Northeast Caucasian,Avaric,"???? ????, ???????? ????",av,ava,ava,ava,,
12,Indo-European,Avestan,avesta,ae,ave,ave,ave,,ancient
13,Aymaran,Aymara,aymar aru,ay,aym,aym,aym + 2,,macrolanguage
14,Turkic,Azerbaijani,az?rbaycan dili,az,aze,aze,aze + 2,,macrolanguage
15,NigerÐCongo,Bambara,bamanankan,bm,bam,bam,bam,,
16,Turkic,Bashkir,??????? ????,ba,bak,bak,bak,,
17,Language isolate,Basque,"euskara, euskera",eu,eus,baq,eus,,
18,Indo-European,Belarusian,?????????? ????,be,bel,bel,bel,,
19,Indo-European,Bengali; Bangla,?????,bn,ben,ben,ben,,
20,Indo-European,Bihari,???????,bh,bih,bih,Ð,,"Collective language code for Bhojpuri, Magahi, and Maithili"
21,Creole,Bislama,Bislama,bi,bis,bis,bis,,
22,Indo-European,Bosnian,bosanski jezik,bs,bos,bos,bos,boss,
23,Indo-European,Breton,brezhoneg,br,bre,bre,bre,,
24,Indo-European,Bulgarian,????????? ????,bg,bul,bul,bul,buls,
25,Sino-Tibetan,Burmese,?????,my,mya,bur,mya,,
26,Indo-European,Catalan; Valencian,"catalˆ, valenciˆ",ca,cat,cat,cat,,
27,Austronesian,Chamorro,Chamoru,ch,cha,cha,cha,,
28,Northeast Caucasian,Chechen,??????? ????,ce,che,che,che,,
29,NigerÐCongo,Chichewa; Chewa; Nyanja,"chiChe?a, chinyanja",ny,nya,nya,nya,,
30,Sino-Tibetan,Chinese,"?? (Zh?ngwŽn), ??, ??",zh,zho,chi,zho + 13,,macrolanguage
31,Turkic,Chuvash,????? ?????,cv,chv,chv,chv,,
32,Indo-European,Cornish,Kernewek,kw,cor,cor,cor,,
33,Indo-European,Corsican,"corsu, lingua corsa",co,cos,cos,cos,,
34,Algonquian,Cree,???????,cr,cre,cre,cre + 6,,macrolanguage
35,Indo-European,Croatian,hrvatski jezik,hr,hrv,hrv,hrv,,
36,Indo-European,Czech,"?e_tina, ?esk_ jazyk",cs,ces,cze,ces,,
37,Indo-European,Danish,dansk,da,dan,dan,dan,,
38,Indo-European,Divehi; Dhivehi; Maldivian;,??????,dv,div,div,div,,
39,Indo-European,Dutch,"Nederlands, Vlaams",nl,nld,dut,nld,,
40,Sino-Tibetan,Dzongkha,??????,dz,dzo,dzo,dzo,,
41,Indo-European,English,English,en,eng,eng,eng,engs,
42,Constructed,Esperanto,Esperanto,eo,epo,epo,epo,,"constructed, initiated from L.L. Zamenhof, 1887"
43,Uralic,Estonian,"eesti, eesti keel",et,est,est,est + 2,,macrolanguage
44,NigerÐCongo,Ewe,E?egbe,ee,ewe,ewe,ewe,,
45,Indo-European,Faroese,f¿royskt,fo,fao,fao,fao,,
46,Austronesian,Fijian,vosa Vakaviti,fj,fij,fij,fij,,
47,Uralic,Finnish,"suomi, suomen kieli",fi,fin,fin,fin,,
48,Indo-European,French,"franais, langue franaise",fr,fra,fre,fra,fras,
49,NigerÐCongo,Fula; Fulah; Pulaar; Pular,"Fulfulde, Pulaar, Pular",ff,ful,ful,ful + 9,,macrolanguage
50,Indo-European,Galician,galego,gl,glg,glg,glg,,
51,South Caucasian,Georgian,???????,ka,kat,geo,kat,,
52,Indo-European,German,Deutsch,de,deu,ger,deu,deus,
53,Indo-European,"Greek, Modern",????????,el,ell,gre,ell,ells,
54,Tupian,Guaran’,Ava–e'?,gn,grn,grn,grn + 5,,macrolanguage
55,Indo-European,Gujarati,???????,gu,guj,guj,guj,,
56,Creole,Haitian; Haitian Creole,Krey˜l ayisyen,ht,hat,hat,hat,,
57,Afro-Asiatic,Hausa,"Hausa, ??????",ha,hau,hau,hau,,
58,Afro-Asiatic,Hebrew (modern),?????,he,heb,heb,heb,,
59,NigerÐCongo,Herero,Otjiherero,hz,her,her,her,,
60,Indo-European,Hindi,"??????, ?????",hi,hin,hin,hin,hins,
61,Austronesian,Hiri Motu,Hiri Motu,ho,hmo,hmo,hmo,,
62,Uralic,Hungarian,magyar,hu,hun,hun,hun,,
63,Constructed,Interlingua,Interlingua,ia,ina,ina,ina,,constructed by International Auxiliary Language Association
64,Austronesian,Indonesian,Bahasa Indonesia,id,ind,ind,ind,,Covered by macrolanguage [ms/msa]
65,Constructed,Interlingue,Originally called Occidental; then Interlingue after WWII,ie,ile,ile,ile,,"constructed by Edgar de Wahl, first published in 1922"
66,Indo-European,Irish,Gaeilge,ga,gle,gle,gle,,
67,NigerÐCongo,Igbo,As?s? Igbo,ig,ibo,ibo,ibo,,
68,EskimoÐAleut,Inupiaq,"I–upiaq, I–upiatun",ik,ipk,ipk,ipk + 2,,macrolanguage
69,Constructed,Ido,Ido,io,ido,ido,ido,idos,"constructed by De Beaufront, 1907, as variation of Esperanto"
70,Indo-European,Icelandic,êslenska,is,isl,ice,isl,,
71,Indo-European,Italian,italiano,it,ita,ita,ita,itas,
72,EskimoÐAleut,Inuktitut,??????,iu,iku,iku,iku + 2,,macrolanguage
73,Japonic,Japanese,??? (????),ja,jpn,jpn,jpn,,
74,Austronesian,Javanese,basa Jawa,jv,jav,jav,jav,,
75,EskimoÐAleut,"Kalaallisut, Greenlandic","kalaallisut, kalaallit oqaasii",kl,kal,kal,kal,,
76,Dravidian,Kannada,?????,kn,kan,kan,kan,,
77,Nilo-Saharan,Kanuri,Kanuri,kr,kau,kau,kau + 3,,macrolanguage
78,Indo-European,Kashmiri,"???????, ???????",ks,kas,kas,kas,,
79,Turkic,Kazakh,????? ????,kk,kaz,kaz,kaz,,
80,Austroasiatic,Khmer,"?????, ????????, ?????????",km,khm,khm,khm,,a.k.a. Cambodian
81,NigerÐCongo,"Kikuyu, Gikuyu",G?k?y?,ki,kik,kik,kik,,
82,NigerÐCongo,Kinyarwanda,Ikinyarwanda,rw,kin,kin,kin,,
83,Turkic,Kyrgyz,"????????, ?????? ????",ky,kir,kir,kir,,
84,Uralic,Komi,???? ???,kv,kom,kom,kom + 2,,macrolanguage
85,NigerÐCongo,Kongo,KiKongo,kg,kon,kon,kon + 3,,macrolanguage
86,Language isolate,Korean,"??? (???), ??? (???)",ko,kor,kor,kor,,
87,Indo-European,Kurdish,"Kurd”, ??????",ku,kur,kur,kur + 3,,macrolanguage
88,NigerÐCongo,"Kwanyama, Kuanyama",Kuanyama,kj,kua,kua,kua,,
89,Indo-European,Latin,"latine, lingua latina",la,lat,lat,lat,lats,ancient
90,Indo-European,"Luxembourgish, Letzeburgesch",L‘tzebuergesch,lb,ltz,ltz,ltz,,
91,NigerÐCongo,Ganda,Luganda,lg,lug,lug,lug,,
92,Indo-European,"Limburgish, Limburgan, Limburger",Limburgs,li,lim,lim,lim,,
93,NigerÐCongo,Lingala,Ling‡la,ln,lin,lin,lin,,
94,TaiÐKadai,Lao,???????,lo,lao,lao,lao,,
95,Indo-European,Lithuanian,lietuvi? kalba,lt,lit,lit,lit,,
96,NigerÐCongo,Luba-Katanga,Tshiluba,lu,lub,lub,lub,,
97,Indo-European,Latvian,latvie_u valoda,lv,lav,lav,lav + 2,,macrolanguage
98,Indo-European,Manx,"Gaelg, Gailck",gv,glv,glv,glv,,
99,Indo-European,Macedonian,?????????? ?????,mk,mkd,mac,mkd,,
100,Austronesian,Malagasy,fiteny malagasy,mg,mlg,mlg,mlg + 10,,macrolanguage
101,Austronesian,Malay,"bahasa Melayu, ???? ??????",ms,msa,may,msa + 13,,"macrolanguage, Standard Malay is [zsm], Indonesian is [id/ind]"
102,Dravidian,Malayalam,??????,ml,mal,mal,mal,,
103,Afro-Asiatic,Maltese,Malti,mt,mlt,mlt,mlt,,
104,Austronesian,M?ori,te reo M?ori,mi,mri,mao,mri,,
105,Indo-European,Marathi (Mar??h?),?????,mr,mar,mar,mar,,
106,Austronesian,Marshallese,Kajin M?aje?,mh,mah,mah,mah,,
107,Mongolic,Mongolian,??????,mn,mon,mon,mon + 2,,macrolanguage
108,Austronesian,Nauru,Ekakair? Naoero,na,nau,nau,nau,,
109,DenŽÐYeniseian,"Navajo, Navaho","DinŽ bizaad, DinŽk?eh?’",nv,nav,nav,nav,,
110,Indo-European,Norwegian BokmŒl,Norsk bokmŒl,nb,nob,nob,nob,,Covered by macrolanguage [no/nor]
111,NigerÐCongo,North Ndebele,isiNdebele,nd,nde,nde,nde,,
112,Indo-European,Nepali,??????,ne,nep,nep,nep,,
113,NigerÐCongo,Ndonga,Owambo,ng,ndo,ndo,ndo,,
114,Indo-European,Norwegian Nynorsk,Norsk nynorsk,nn,nno,nno,nno,,Covered by macrolanguage [no/nor]
115,Indo-European,Norwegian,Norsk,no,nor,nor,nor + 2,,"macrolanguage, BokmŒl is [nb/nob], Nynorsk is [nn/nno]"
116,Sino-Tibetan,Nuosu,??? Nuosuhxop,ii,iii,iii,iii,,Standard form of Yi languages
117,NigerÐCongo,South Ndebele,isiNdebele,nr,nbl,nbl,nbl,,
118,Indo-European,Occitan,"occitan, lenga d'˜c",oc,oci,oci,oci,,
119,Algonquian,"Ojibwe, Ojibwa",????????,oj,oji,oji,oji + 7,,macrolanguage
120,Indo-European,"Old Church Slavonic, Church Slavonic, Old Bulgarian",????? ??????????,cu,chu,chu,chu,,"ancient, in use by Orthodox Church"
121,Afro-Asiatic,Oromo,Afaan Oromoo,om,orm,orm,orm + 4,,macrolanguage
122,Indo-European,Oriya,?????,or,ori,ori,ori,,
123,Indo-European,"Ossetian, Ossetic",???? ¾????,os,oss,oss,oss,,
124,Indo-European,"Panjabi, Punjabi","??????, ???????",pa,pan,pan,pan,,
125,Indo-European,P?li,????,pi,pli,pli,pli,,ancient
126,Indo-European,Persian (Farsi),?????,fa,fas,per,fas + 2,,macrolanguage
127,Indo-European,Polish,"j?zyk polski, polszczyzna",pl,pol,pol,pol,pols,
128,Indo-European,"Pashto, Pushto",????,ps,pus,pus,pus + 3,,macrolanguage
129,Indo-European,Portuguese,portugus,pt,por,por,por,,
130,Quechuan,Quechua,"Runa Simi, Kichwa",qu,que,que,que + 44,,macrolanguage
131,Indo-European,Romansh,rumantsch grischun,rm,roh,roh,roh,,
132,NigerÐCongo,Kirundi,Ikirundi,rn,run,run,run,,
133,Indo-European,Romanian,limba rom‰n?,ro,ron,rum,ron,,"[mo] for Moldavian has been withdrawn, recommending [ro] also for Moldavian"
134,Indo-European,Russian,??????? ????,ru,rus,rus,rus,,
135,Indo-European,Sanskrit (Sa?sk?ta),?????????,sa,san,san,san,,"ancient, still spoken"
136,Indo-European,Sardinian,sardu,sc,srd,srd,srd + 4,,macrolanguage
137,Indo-European,Sindhi,"??????, ????? ??????",sd,snd,snd,snd,,
138,Uralic,Northern Sami,Davvis‡megiella,se,sme,sme,sme,,
139,Austronesian,Samoan,gagana fa'a Samoa,sm,smo,smo,smo,,
140,Creole,Sango,y‰ng‰ t” sŠngš,sg,sag,sag,sag,,
141,Indo-European,Serbian,?????? ?????,sr,srp,srp,srp,,The ISO 639-2/T code srp deprecated the ISO 639-2/B code scc
142,Indo-European,Scottish Gaelic; Gaelic,Gˆidhlig,gd,gla,gla,gla,,
143,NigerÐCongo,Shona,chiShona,sn,sna,sna,sna,,
144,Indo-European,"Sinhala, Sinhalese",?????,si,sin,sin,sin,,
145,Indo-European,Slovak,"sloven?ina, slovensk_ jazyk",sk,slk,slo,slk,,
146,Indo-European,Slovene,"slovenski jezik, sloven_?ina",sl,slv,slv,slv,,
147,Afro-Asiatic,Somali,"Soomaaliga, af Soomaali",so,som,som,som,,
148,NigerÐCongo,Southern Sotho,Sesotho,st,sot,sot,sot,,
149,Turkic,South Azerbaijani,???????,az,azb,azb,azb,,
150,Indo-European,Spanish; Castilian,"espa–ol, castellano",es,spa,spa,spa,,
151,Austronesian,Sundanese,Basa Sunda,su,sun,sun,sun,,
152,NigerÐCongo,Swahili,Kiswahili,sw,swa,swa,swa + 2,,macrolanguage
153,NigerÐCongo,Swati,SiSwati,ss,ssw,ssw,ssw,,
154,Indo-European,Swedish,Svenska,sv,swe,swe,swe,,
155,Dravidian,Tamil,?????,ta,tam,tam,tam,,
156,Dravidian,Telugu,??????,te,tel,tel,tel,,
157,Indo-European,Tajik,"??????, to?ik?, ???????",tg,tgk,tgk,tgk,,
158,TaiÐKadai,Thai,???,th,tha,tha,tha,,
159,Afro-Asiatic,Tigrinya,????,ti,tir,tir,tir,,
160,Sino-Tibetan,"Tibetan Standard, Tibetan, Central",???????,bo,bod,tib,bod,,
